Order ID,Order Date,Region,Category,Sub-Category,Segment,Quantity,Price,Sales,Profit
ORD-10848,2023-01-01,South,Office Supplies,Paper,Consumer,1,416.81,416.81,9.14
ORD-10677,2023-01-01,East,Office Supplies,Paper,Consumer,4,31.62,126.48,-23.76
ORD-10648,2023-01-01,South,Furniture,Bookcase,Corporate,1,422.94,422.94,128.44
ORD-10755,2023-01-01,Central,Furniture,Table,Consumer,1,35.15,35.15,6.53
ORD-10991,2023-01-01,East,Technology,Copiers,Consumer,4,666.5,2666.0,407.09
ORD-10446,2023-01-01,Central,Technology,Phones,Consumer,2,703.94,1407.88,-215.68
ORD-10206,2023-01-02,South,Technology,Copiers,Consumer,2,634.76,1269.52,-66.68
ORD-10263,2023-01-02,West,Office Supplies,Paper,Consumer,5,65.89,329.45,35.33
ORD-10063,2023-01-02,South,Furniture,Chair,Consumer,2,264.89,529.78,-30.13
ORD-10895,2023-01-03,East,Furniture,Furnishings,Home Office,3,286.77,860.31,263.62
ORD-10948,2023-01-04,West,Office Supplies,Binders,Consumer,2,179.1,358.2,35.43
ORD-10496,2023-01-04,South,Furniture,Furnishings,Consumer,5,195.38,976.9,51.31
ORD-10325,2023-01-04,West,Office Supplies,Appliances,Home Office,4,323.2,1292.8,317.28
ORD-10968,2023-01-04,West,Technology,Phones,Corporate,5,81.57,407.85,-69.34
ORD-10613,2023-01-05,West,Office Supplies,Appliances,Consumer,4,380.23,1520.92,331.57
ORD-10415,2023-01-05,South,Office Supplies,Pens,Consumer,5,56.32,281.6,-48.78
ORD-10720,2023-01-05,Central,Technology,Computers,Consumer,2,648.25,1296.5,83.38
ORD-10128,2023-01-05,South,Technology,Phones,Home Office,3,13.12,39.36,6.14
ORD-10842,2023-01-05,West,Technology,Copiers,Consumer,4,413.09,1652.36,-249.16
ORD-10964,2023-01-06,South,Office Supplies,Appliances,Consumer,1,470.9,470.9,129.04
ORD-10741,2023-01-06,East,Furniture,Chair,Consumer,3,9.5,28.5,4.46
ORD-10334,2023-01-06,South,Furniture,Furnishings,Corporate,4,127.43,509.72,77.65
ORD-10934,2023-01-06,East,Office Supplies,Binders,Consumer,4,460.77,1843.08,220.94
ORD-10894,2023-01-07,South,Technology,Copiers,Corporate,5,735.15,3675.75,470.28
ORD-10605,2023-01-07,West,Office Supplies,Paper,Corporate,5,406.03,2030.15,73.74
ORD-10828,2023-01-08,West,Furniture,Table,Home Office,1,338.34,338.34,46.68
ORD-10687,2023-01-08,Central,Technology,Phones,Corporate,5,502.51,2512.55,358.94
ORD-10875,2023-01-08,Central,Office Supplies,Pens,Consumer,2,478.17,956.34,-154.24
ORD-10097,2023-01-09,East,Furniture,Table,Home Office,4,127.32,509.28,-57.17
ORD-10269,2023-01-09,South,Office Supplies,Pens,Corporate,3,159.05,477.15,82.27
ORD-10601,2023-01-09,West,Office Supplies,Pens,Consumer,5,35.16,175.8,31.94
ORD-10714,2023-01-10,West,Furniture,Bookcase,Consumer,1,166.48,166.48,35.94
ORD-10484,2023-01-10,West,Office Supplies,Paper,Consumer,2,96.39,192.78,-2.28
ORD-10851,2023-01-12,West,Furniture,Bookcase,Consumer,2,148.73,297.46,-46.07
ORD-10681,2023-01-12,Central,Office Supplies,Pens,Consumer,3,173.3,519.9,144.69
ORD-10518,2023-01-12,Central,Furniture,Table,Consumer,5,285.28,1426.4,-280.37
ORD-10916,2023-01-13,South,Furniture,Furnishings,Corporate,3,215.06,645.18,124.57
ORD-10378,2023-01-13,East,Office Supplies,Paper,Consumer,1,12.62,12.62,1.52
ORD-10151,2023-01-13,West,Furniture,Chair,Home Office,4,143.45,573.8,182.65
ORD-10554,2023-01-13,South,Office Supplies,Paper,Consumer,3,116.89,350.67,36.15
ORD-10050,2023-01-14,Central,Technology,Accessories,Corporate,2,239.79,479.58,-64.13
ORD-10675,2023-01-14,East,Furniture,Furnishings,Corporate,4,268.02,1072.08,18.95
ORD-10885,2023-01-14,South,Furniture,Furnishings,Home Office,2,154.96,309.92,64.94
ORD-10891,2023-01-14,South,Office Supplies,Paper,Consumer,3,342.89,1028.67,287.33
